Orthogroup	Geobacter sulfurreducens PCA	Desulfocapsa_13_biocide
OG0000566	WP_010941728.1, WP_010941185.1	Utg857152_97
OG0000567	WP_010944028.1, WP_010943381.1	Utg859098_173
OG0000567	WP_010941905.1	Utg859076_62
OG0000568	WP_010943959.1	Utg859388_45, Utg859098_267
OG0000569	WP_010941600.1	Utg857992_12
OG0000570	WP_010942880.1	Utg857046_194
OG0000571	WP_010941269.1	Utg857300_49
OG0000575	WP_010942534.1	Utg859432_50
OG0000576	WP_010942537.1	Utg865370_28
OG0000577	WP_010942510.1	Utg857994_20
OG0000578	WP_010940679.1	Utg861744_32
OG0000579	WP_010943242.1	Utg861744_19
OG0000580	WP_010943827.1	Utg860814_282
OG0000581	WP_010943499.1	Utg858494_143
OG0000582	WP_010944070.1	Utg859750_11
OG0000583	WP_010942332.1	Utg857490_11
OG0000584	WP_010944075.1	Utg857046_225
OG0000585	WP_010944076.1	Utg857046_226
OG0000586	WP_010944078.1	Utg857046_228
OG0000587	WP_010942289.1	Utg859098_170
OG0000588	WP_010942073.1	Utg857046_250
OG0000589	WP_010941392.1	Utg859982_4
OG0000590	WP_010942465.1	Utg857046_196
OG0000591	WP_010940835.1	Utg859432_41
OG0000592	WP_010941272.1	Utg859098_167
OG0000593	WP_010942349.1	Utg858432_36
OG0000594	WP_010943186.1	Utg857152_39
OG0000595	WP_010943920.1	Utg860006_52
OG0000596	WP_235044854.1	Utg859098_222
OG0000597	WP_010942643.1	Utg859098_240
OG0000598	WP_010943702.1	Utg858432_39
OG0000599	WP_010941327.1	Utg859098_188
OG0000600	WP_010942136.1	Utg863716_90
OG0000601	WP_010940829.1	Utg859432_46
OG0000602	WP_010942444.1	Utg859098_243
OG0000603	WP_010942707.1	Utg860006_130
OG0000604	WP_010940693.1	Utg859750_70
OG0000605	WP_010943003.1	Utg863716_99
OG0000606	WP_010941673.1	Utg865370_35
OG0000607	WP_010940800.1	Utg857152_11
OG0000608	WP_010940710.1	Utg860814_195
OG0000610	WP_010942105.1	Utg858494_91
OG0000611	WP_010941932.1	Utg859098_165
OG0000612	WP_010941310.1	Utg866558_22
OG0000613	WP_010941309.1	Utg866558_21
OG0000615	WP_010942566.1	Utg858494_101
OG0000616	WP_010942564.1	Utg858494_99
OG0000617	WP_010943485.1	Utg858494_129
OG0000618	WP_010943483.1	Utg858494_127
OG0000619	WP_010943482.1	Utg858494_126
OG0000620	WP_010943481.1	Utg858494_125
OG0000621	WP_010943480.1	Utg858494_124
OG0000622	WP_010941527.1	Utg859236_96
OG0000623	WP_010943723.1	Utg857994_147
OG0000624	WP_010943850.1	Utg859098_193
OG0000625	WP_010943851.1	Utg859098_192
OG0000626	WP_010940760.1	Utg861744_118
OG0000627	WP_010942106.1	Utg858494_90
OG0000628	WP_010942919.1	Utg859076_34
OG0000630	WP_041914001.1	Utg857152_31
OG0000631	WP_276524825.1	Utg857152_28
OG0000632	WP_010943180.1	Utg859388_81
OG0000633	WP_010942373.1	Utg861448_58, Utg861448_57, Utg860814_165
OG0000634	WP_010943241.1	Utg857994_128
OG0000635	WP_010942450.1	Utg859236_17
OG0000636	WP_010944053.1	Utg859982_221
OG0000637	WP_010942245.1	Utg859388_63
OG0000638	WP_010942878.1	Utg857076_19
OG0000639	WP_010942898.1	Utg859982_5
OG0000640	WP_010942897.1	Utg860006_133
OG0000642	WP_010940715.1	Utg857046_24
OG0000643	WP_010941323.1	Utg857994_157
OG0000644	WP_010941325.1	Utg857152_22
OG0000645	WP_010943691.1	Utg857046_27
OG0000646	WP_010943692.1	Utg858432_47
OG0000647	WP_010943693.1	Utg858432_46
OG0000648	WP_010943697.1	Utg858432_43
OG0000649	WP_010941322.1	Utg857994_158
OG0000650	WP_010943006.1	Utg857992_20
OG0000651	WP_010943016.1	Utg859098_261
OG0000652	WP_010942410.1	Utg859388_12
OG0000653	WP_010941921.1	Utg859098_160
OG0000654	WP_010942463.1	Utg859750_12, Utg859750_13
OG0000655	WP_010941209.1	Utg857490_21
OG0000656	WP_010942230.1	Utg860814_287
OG0000657	WP_010942231.1	Utg860814_288
OG0000658	WP_010942236.1	Utg860814_293
OG0000659	WP_010942237.1	Utg860814_294
OG0000660	WP_010943504.1	Utg862138_23
OG0000661	WP_010943505.1	Utg862138_24
OG0000664	WP_010943342.1	Utg860006_55
OG0000665	WP_010943897.1	Utg859750_18
OG0000667	WP_010943951.1	Utg857300_3
OG0000668	WP_010943747.1	Utg861448_16
OG0000670	WP_010941735.1	Utg858432_31
OG0000671	WP_010942874.1	Utg860006_65
OG0000672	WP_010941965.1	Utg857152_41
OG0000673	WP_010941900.1	Utg859982_38
OG0000674	WP_010941793.1	Utg859236_45
OG0000675	WP_010942418.1	Utg858432_131
OG0000676	WP_010941316.1	Utg859098_162
OG0000677	WP_010943461.1	Utg858494_106
OG0000678	WP_010943462.1	Utg858494_107
OG0000679	WP_164930419.1	Utg866558_16
OG0000680	WP_010942334.1	Utg857490_9
OG0000681	WP_010943494.1	Utg858494_138
OG0000682	WP_010943495.1	Utg858494_139
OG0000684	WP_010940790.1	Utg857152_110
OG0000685	WP_010943470.1	Utg858494_115
OG0000686	WP_010941171.1	Utg858494_58
OG0000687	WP_010943475.1	Utg858494_119
OG0000688	WP_010943477.1	Utg858494_121
OG0000689	WP_010943478.1	Utg858494_122
OG0000690	WP_010943978.1	Utg857300_51
OG0000691	WP_010943491.1	Utg858494_135
OG0000692	WP_010940678.1	Utg857152_13
OG0000693	WP_010940806.1	Utg857682_77
OG0000694	WP_010944074.1	Utg857046_223
OG0000695	WP_010942109.1	Utg861744_138
OG0000696	WP_010941175.1	Utg857682_78
OG0000697	WP_010943823.1	Utg857152_72
OG0000698	WP_010941311.1	Utg866558_23
OG0000699	WP_010941314.1	Utg857992_14
OG0000700	WP_010942509.1	Utg857994_23
OG0000701	WP_010942457.1	Utg859982_145
OG0000702	WP_010942686.1	Utg863716_85
OG0000704	WP_010943688.1	Utg858432_50
OG0000705	WP_010943689.1	Utg858432_49
OG0000706	WP_010943690.1	Utg858432_48
OG0000707	WP_010943694.1	Utg858432_45
OG0000708	WP_010943703.1	Utg858432_38
OG0000709	WP_010941854.1	Utg859098_244
OG0000710	WP_010942229.1	Utg858432_137
OG0000711	WP_010942353.1	Utg857300_58
OG0000712	WP_010943831.1	Utg859098_194
OG0000713	WP_010942252.1	Utg859388_72
OG0000714	WP_010942331.1	Utg859388_74
OG0000715	WP_010942333.1	Utg857490_10
OG0000716	WP_010942335.1	Utg857490_8
OG0000717	WP_010943498.1	Utg858494_142
OG0000718	WP_010943497.1	Utg858494_141
OG0000719	WP_010943496.1	Utg858494_140
OG0000720	WP_010943493.1	Utg858494_137
OG0000721	WP_010943490.1	Utg858494_134
OG0000722	WP_010943487.1	Utg858494_130
OG0000723	WP_010943484.1	Utg858494_128
OG0000724	WP_010943479.1	Utg858494_123
OG0000725	WP_010943476.1	Utg858494_120
OG0000726	WP_010943474.1	Utg858494_118
OG0000727	WP_010943469.1	Utg858494_114
OG0000728	WP_010943468.1	Utg858494_113
OG0000729	WP_010943467.1	Utg858494_112
OG0000730	WP_010943466.1	Utg858494_111
OG0000731	WP_010943460.1	Utg858494_105
OG0000732	WP_010943459.1	Utg858494_104
OG0000733	WP_010943458.1	Utg858494_103
OG0000734	WP_010942240.1	Utg860814_296
OG0000735	WP_010941785.1	Utg857994_165
OG0000737	WP_010942233.1	Utg860814_290
OG0000738	WP_010943606.1	Utg859432_37
OG0000739	WP_010942849.1	Utg859098_184
OG0000740	WP_010942479.1	Utg857046_195
OG0000741	WP_010942525.1	Utg857152_47
OG0000743	WP_010942133.1	Utg857490_15
OG0000744	WP_010942877.1	Utg860006_53
OG0000745	WP_010940804.1	Utg859388_139
OG0000746	WP_010942838.1	Utg859098_235
OG0000747	WP_010943729.1	Utg857994_151
OG0000748	WP_010943728.1	Utg857994_150
OG0000749	WP_010943205.1	Utg857152_184
OG0000750	WP_010940975.1	Utg861744_131
OG0000751	WP_010940978.1	Utg861744_128
OG0000752	WP_010942554.1	Utg863716_108
OG0000753	WP_010943874.1	Utg859982_134
OG0000754	WP_010942540.1	Utg865370_30
OG0000755	WP_010942539.1	Utg865370_29
OG0000756	WP_010943890.1	Utg859098_377
OG0000757	WP_010943990.1	Utg857046_201
OG0000758	WP_010940682.1	Utg861744_34
OG0000759	WP_010943243.1	Utg863716_91
OG0000760	WP_010943240.1	Utg864866_56
OG0000761	WP_010942107.1	Utg865370_36
OG0000762	WP_010940819.1	Utg857152_182
OG0000763	WP_010940821.1	Utg857152_181
OG0000764	WP_010940824.1	Utg857152_103
OG0000765	WP_010941053.1, WP_010940752.1	Utg857994_216
OG0000766	WP_010942471.1	Utg861744_46
OG0000767	WP_010942868.1	Utg860814_97
OG0000768	WP_193360270.1	Utg858432_125
OG0000769	WP_010942565.1	Utg858494_100
OG0000770	WP_010942563.1	Utg858494_98
OG0000771	WP_010942562.1	Utg858494_97
OG0000772	WP_010942561.1	Utg858494_95
OG0000773	WP_010942560.1	Utg858494_94
OG0000774	WP_010942559.1	Utg858494_93
OG0000775	WP_010942908.1	Utg857152_8
OG0000776	WP_010942906.1	Utg858432_16
OG0000777	WP_010942905.1	Utg858432_17
OG0000778	WP_010942051.1, WP_010943005.1	Utg859076_36
OG0000779	WP_010942455.1	Utg859236_39
OG0000780	WP_010941248.1	Utg857994_34
OG0000781	WP_010943501.1, WP_010943424.1	Utg859388_66
OG0000782	WP_010942467.1	Utg857152_113
OG0000783	WP_010942350.1	Utg859098_319
OG0000784	WP_010942835.1	Utg864866_53
OG0000785	WP_010942834.1	Utg864866_52
OG0000786	WP_010943294.1	Utg857682_63
OG0000786	WP_010943646.1	Utg861744_80
OG0000787	WP_010941674.1	Utg858432_7
OG0000789	WP_010942247.1	Utg858432_136
OG0000790	WP_010942870.1	Utg857152_24
OG0000791	WP_010941878.1	Utg857152_172
OG0000792	WP_010942227.1	Utg858432_138
OG0000793	WP_010942644.1	Utg860814_257
OG0000794	WP_010941772.1	Utg859098_248
OG0000795	WP_010942865.1	Utg859236_57
OG0000796	WP_010942409.1	Utg859388_11
OG0000797	WP_010942411.1	Utg859098_321
OG0000798	WP_010943257.1, WP_010941835.1	Utg864866_5
OG0000799	WP_010943258.1	Utg859236_84
OG0000800	WP_010942281.1	Utg857300_48
OG0000801	WP_010943004.1	Utg858432_94
OG0000802	WP_010943507.1	Utg859982_39
OG0000803	WP_010943508.1	Utg862138_37
OG0000804	WP_010943769.1	Utg857046_156, Utg857300_38
OG0000805	WP_010941347.1	Utg857994_194
OG0000806	WP_010940684.1	Utg861744_35
OG0000807	WP_010941324.1	Utg857994_156
OG0000808	WP_010942568.1	Utg858494_59
OG0000809	WP_010942688.1	Utg859076_29
OG0000810	WP_010942940.1	Utg859388_28
OG0000811	WP_010942581.1	Utg859076_28
OG0000812	WP_010942021.1, WP_010943943.1	Utg859982_130
OG0000813	WP_010943976.1	Utg859236_28
OG0000815	WP_010941271.1	Utg859098_270
OG0000816	WP_010942438.1	Utg861744_39
OG0000817	WP_010940708.1	Utg861744_55
OG0000818	WP_010942733.1	Utg859982_206
OG0000819	WP_010942277.1	Utg859098_237
OG0000820	WP_010941062.1	Utg861744_11
OG0000821	WP_010940768.1	Utg857076_59
OG0000822	WP_010942723.1	Utg857490_29
OG0000823	WP_010942720.1	Utg857490_26
OG0000825	WP_010941242.1	Utg860006_60
OG0000827	WP_010942167.1	Utg857992_34
OG0000828	WP_010942166.1	Utg857992_33
OG0000829	WP_010942165.1	Utg857992_32
OG0000830	WP_010942164.1	Utg857992_31
OG0000831	WP_010942163.1	Utg857992_30
OG0000832	WP_193360261.1	Utg857992_29
OG0000833	WP_010941018.1	Utg862138_6
OG0000834	WP_235044855.1	Utg860814_211
OG0000835	WP_010942522.1	Utg861744_136
OG0000836	WP_010941899.1	Utg859982_37
OG0000837	WP_010943725.1	Utg857994_149
OG0000838	WP_010943895.1	Utg859750_78
OG0000839	WP_010941321.1	Utg857994_159
OG0000840	WP_010941368.1	Utg860006_92
OG0000841	WP_010940957.1	Utg861744_104
OG0000842	WP_010941268.1	Utg859982_143
OG0000843	WP_010941329.1	Utg859098_186
OG0000844	WP_010941307.1	Utg866558_19
OG0000845	WP_200858943.1	Utg866558_18
OG0000846	WP_010941303.1	Utg866558_15
OG0000847	WP_010941608.1	Utg857046_199, Utg857046_200
OG0000848	WP_010943828.1	Utg859098_198
OG0000849	WP_010943181.1	Utg860814_241
OG0000850	WP_010942529.1	Utg865370_6
OG0000851	WP_010942532.1	Utg859432_52
OG0000852	WP_010943721.1	Utg862138_31
OG0000853	WP_010943719.1	Utg862138_25
OG0000854	WP_010942178.1	Utg859098_156
OG0000855	WP_010943503.1	Utg862138_22
OG0000856	WP_010943641.1	Utg859098_158
OG0000857	WP_010941275.1	Utg866558_50, Utg860006_64
OG0000858	WP_010943026.1	Utg857152_16
OG0000860	WP_010940788.1	Utg857152_108
OG0000861	WP_010944072.1	Utg862138_32
OG0000862	WP_010944073.1	Utg857046_249
OG0000863	WP_010943343.1	Utg858498_11
OG0000864	WP_010943985.1	Utg857152_40
OG0000865	WP_010940832.1	Utg859432_45
OG0000866	WP_010943896.1	Utg861744_123
OG0000867	WP_010941005.1	Utg857152_66
OG0000868	WP_010943265.1	Utg858432_141
OG0000869	WP_010943492.1	Utg858494_136
OG0000870	WP_010940695.1	Utg857152_7
OG0000871	WP_041914012.1	Utg860814_295
OG0000872	WP_010942918.1	Utg859076_32
OG0000873	WP_010943758.1	Utg858432_134
OG0000874	WP_010942555.1	Utg859982_42
OG0000875	WP_010940803.1	Utg862138_27
OG0000876	WP_010942402.1	Utg858498_10
OG0000877	WP_010941776.1	Utg859750_69
OG0000878	WP_010941797.1	Utg861744_25
OG0000879	WP_010942567.1	Utg859098_208
OG0000881	WP_010941168.1	Utg857046_136
OG0000882	WP_010941800.1	Utg857076_30
OG0000884	WP_010943256.1	Utg864866_4
OG0000886	WP_010941176.1	Utg857152_198
OG0000887	WP_010940850.1	Utg857682_127
OG0000888	WP_010940920.1, WP_010942624.1	Utg860814_18
OG0000889	WP_010941682.1	Utg857046_218
OG0000890	WP_010942994.1	Utg859388_129
OG0000891	WP_010944077.1	Utg857046_227
OG0000892	WP_010941736.1	Utg858432_33, Utg858432_32
OG0000893	WP_010943696.1	Utg858432_44
OG0000894	WP_010942437.1	Utg857300_13
OG0000895	WP_193360259.1	Utg859432_42
OG0000896	WP_010942911.1	Utg862138_41
OG0000897	WP_010940769.1	Utg857076_60
OG0000898	WP_010940818.1	Utg857682_75
OG0000899	WP_010940772.1	Utg857992_27
OG0000900	WP_010942879.1	Utg857076_21
OG0000901	WP_010942380.1, WP_010942379.1	Utg857076_69, Utg860814_111
OG0000902	WP_010942383.1	Utg860814_108
OG0000903	WP_010942384.1	Utg860814_106
OG0000904	WP_010943253.1	Utg860814_95
OG0000905	WP_010942398.1	Utg859388_147
OG0000906	WP_010943893.1	Utg859750_75, Utg859750_76
OG0000913	WP_010943338.1	Utg857076_64
OG0000917	WP_010941186.1, WP_010941729.1, WP_010942987.1, WP_010941731.1	Utg857152_100
OG0000919	WP_010941525.1	Utg857046_215
OG0000920	WP_274377819.1, WP_010942885.1	Utg859098_42
OG0000922	WP_010942658.1	Utg857046_134
OG0000924	WP_010942150.1	Utg857994_207, Utg857994_213
OG0000929	WP_010941058.1	Utg857994_22, Utg857994_21
OG0000930	WP_010943684.1	Utg859098_247
OG0000931	WP_010943639.1	Utg859098_329
OG0000932	WP_010941448.1	Utg857046_234, Utg859098_126
OG0000932	WP_010941442.1	Utg857046_154
OG0000933	WP_010943669.1	Utg859098_74, Utg859098_75, Utg859076_46
OG0000934	WP_010943664.1	Utg859076_51, Utg859098_66, Utg859098_67
OG0000935	WP_010943604.1	Utg859388_184, Utg858498_24
OG0000936	WP_010943877.1, WP_010942004.1	Utg859982_80
OG0000937	WP_235044965.1	Utg857994_136
OG0000940	WP_010943154.1	Utg857076_11
OG0000941	WP_275450052.1	Utg857490_16
OG0000943	WP_010943638.1	Utg859098_328
OG0000944	WP_010940881.1	Utg858432_128, Utg861448_35
OG0000946	WP_010942981.1	Utg864866_90
OG0000946	WP_010941361.1	Utg858494_6
OG0000949	WP_010943353.1	Utg857152_163
OG0000951	WP_010941232.1	Utg859982_106
OG0000955	WP_010941480.1, WP_010942128.1	Utg863716_21, Utg859388_38
OG0000956	WP_235044856.1, WP_010942502.1, WP_010942488.1, WP_010941635.1, WP_010943350.1, WP_010943223.1	Utg857992_41
OG0000962	WP_010943826.1	Utg859388_132
OG0000963	WP_010940786.1	Utg857152_106
OG0000964	WP_010942553.1	Utg859982_41
OG0000966	WP_010943173.1	Utg857076_3, Utg859236_131
OG0000967	WP_010941771.1	Utg857994_90
OG0000968	WP_010941326.1	Utg859098_189
OG0000970	WP_010943924.1	Utg857490_24
OG0000971	WP_010940828.1	Utg859432_47
OG0000972	WP_010942579.1	Utg859098_228
OG0000973	WP_010943293.1	Utg857682_62
OG0000973	WP_010943082.1	Utg861744_79
OG0000974	WP_010940791.1	Utg866558_24
OG0000976	WP_010942094.1	Utg860006_128
OG0000980	WP_010940742.1	Utg857992_22
OG0000981	WP_010940783.1	Utg861744_44
OG0000982	WP_010944067.1	Utg861744_47
OG0000983	WP_010941478.1	Utg858432_111
OG0000985	WP_010941008.1	Utg862138_15
OG0000986	WP_010942803.1	Utg858432_104
OG0000987	WP_010941925.1	Utg859098_268
OG0000988	WP_010942336.1	Utg859750_14
OG0000989	WP_010942846.1	Utg859098_265
OG0000990	WP_010941742.1	Utg861744_40
OG0000991	WP_010940836.1	Utg859432_40
OG0000992	WP_010941737.1	Utg858432_34
OG0000994	WP_010943463.1	Utg858494_108
OG0000995	WP_010943472.1	Utg858494_117
OG0000996	WP_010942478.1	Utg857046_68
OG0000998	WP_010942692.1	Utg859982_156
OG0001000	WP_010943471.1	Utg858494_116
OG0001001	WP_197714222.1	Utg857152_125
OG0001002	WP_010942234.1	Utg860814_291
OG0001003	WP_010942706.1	Utg860006_165
OG0001006	WP_010943952.1	Utg857300_4
OG0001007	WP_010943757.1	Utg858432_135
OG0001008	WP_010941108.1	Utg859982_204
OG0001009	WP_010941109.1	Utg859982_203
OG0001012	WP_010940916.1	Utg860814_60
OG0001013	WP_010941123.1	Utg860814_19, Utg860814_20
OG0001014	WP_010942282.1	Utg858432_10
OG0001017	WP_010943812.1	Utg859388_91
OG0001018	WP_010941240.1	Utg859750_68
OG0001019	WP_010943423.1	Utg859388_67
OG0001020	WP_010941605.1	Utg861744_59
OG0001022	WP_010942226.1	Utg857046_31
OG0001023	WP_010943862.1	Utg861744_135
OG0001024	WP_010941469.1	Utg860006_134
OG0001026	WP_010940973.1	Utg857994_126, Utg857994_125
OG0001027	WP_010943098.1	Utg857076_42
OG0001029	WP_010940773.1	Utg857992_28
OG0001030	WP_010942303.1	Utg861744_137
OG0001033	WP_010943014.1	Utg859098_260
OG0001034	WP_010943991.1	Utg861744_53
OG0001035	WP_010943994.1	Utg861744_22
OG0001036	WP_010941667.1	Utg857152_102, Utg857152_101
OG0001037	WP_010941788.1	Utg857994_137
OG0001038	WP_010942280.1	Utg857300_56
OG0001039	WP_010940814.1	Utg858432_117
OG0001040	WP_010942558.1	Utg858494_92
OG0001041	WP_010940776.1	Utg859388_87
OG0001042	WP_010941011.1, WP_010943356.1, WP_010944051.1	Utg859982_220
OG0001046	WP_010942079.1	Utg866558_26
OG0001049	WP_010943554.1	Utg859236_98
OG0001052	WP_010942180.1	Utg857152_158
OG0001053	WP_010941289.1	Utg857994_209
OG0001054	WP_010942612.1	Utg858432_21
OG0001057	WP_010940846.1	Utg857682_14
OG0001059	WP_010940872.1	Utg857682_92
OG0001060	WP_010942549.1	Utg861448_4
OG0001062	WP_041914004.1	Utg859098_404, Utg859388_1, Utg857152_256, Utg857682_103, Utg857682_110, Utg859098_52, Utg859098_408
OG0001065	WP_010942474.1	Utg859236_30, Utg859236_29
OG0001066	WP_010941738.1	Utg858432_35
OG0001068	WP_010941152.1	Utg859098_273
OG0001072	WP_010941057.1	Utg860814_262
OG0001073	WP_010941065.1	Utg859982_126
OG0001074	WP_010940885.1	Utg859432_79
OG0001076	WP_010943204.1	Utg857152_183
OG0001080	WP_235045026.1	Utg857152_222
OG0001083	WP_010941934.1, WP_010943634.1	Utg865370_14
OG0001084	WP_010943632.1, WP_010941935.1	Utg865370_12
OG0001085	WP_010943537.1	Utg859098_389
OG0001085	WP_010943586.1	Utg864866_113
OG0001086	WP_010943587.1	Utg864866_114
OG0001088	WP_010943706.1	Utg857300_53
OG0001089	WP_010940878.1	Utg860006_113
OG0001093	WP_010941431.1	Utg857046_261
OG0001096	WP_010942440.1	Utg858494_56
OG0001098	WP_010943628.1	Utg859098_10
OG0001100	WP_010943977.1	Utg857994_163
OG0001101	WP_010942251.1	Utg859388_71
OG0001102	WP_010943298.1, WP_010943860.1	Utg859982_77
OG0001104	WP_010941834.1	Utg859098_190
OG0001105	WP_010942115.1	Utg859098_253
OG0001106	WP_010942114.1	Utg859098_254
OG0001108	WP_010943620.1	Utg859098_326
OG0001109	WP_010943619.1	Utg859098_327
OG0001110	WP_010943640.1	Utg859098_330
OG0001111	WP_010942343.1, WP_010940704.1	Utg859098_353
OG0001112	WP_010941443.1	Utg857046_155
OG0001112	WP_010941449.1	Utg857046_233
OG0001113	WP_010940774.1	Utg858432_78
OG0001114	WP_010941088.1	Utg859098_97
OG0001116	WP_010941299.1	Utg859982_18
OG0001118	WP_010941601.1	Utg857992_11
OG0001119	WP_010942058.1	Utg858432_116
OG0001120	WP_010941817.1	Utg862138_29
OG0001121	WP_010943980.1	Utg861448_2
OG0001123	WP_010941279.1	Utg857046_119
OG0001123	WP_010943142.1	Utg858432_149, Utg857046_125
OG0001124	WP_010942116.1	Utg859098_252
OG0001125	WP_010941213.1	Utg863716_62
OG0001126	WP_010943591.1	Utg860814_1
OG0001127	WP_010941204.1	Utg857994_16, Utg857682_169
OG0001136	WP_010944006.1	Utg857994_83, Utg857994_84
OG0001143	WP_010943899.1	Utg863716_34
OG0001144	WP_010942446.1	Utg864866_58
OG0001145	WP_010941181.1	Utg857994_153
OG0001148	WP_010943075.1	Utg858494_34
OG0001152	WP_041914011.1	Utg857992_36
OG0001154	WP_010942520.1	Utg857152_46
OG0001155	WP_010943078.1	Utg859098_278
OG0001156	WP_010941291.1	Utg859098_49, Utg857994_218
OG0001157	WP_010943447.1	Utg861744_62
OG0001159	WP_010941902.1	Utg859076_30
OG0001160	WP_010942729.1	Utg859750_16
OG0001161	WP_010942330.1	Utg859388_73
OG0001165	WP_010944063.1	Utg860814_188
OG0001166	WP_010942668.1	Utg860006_27
OG0001169	WP_010941125.1	Utg860814_65
OG0001171	WP_010943433.1	Utg861744_94
OG0001172	WP_010943445.1	Utg861744_66
OG0001173	WP_010943446.1	Utg861744_65
OG0001174	WP_010943426.1	Utg861744_96
OG0001178	WP_010943678.1	Utg859098_86
OG0001179	WP_010942439.1	Utg860814_117
OG0001180	WP_010943071.1	Utg857682_67, Utg861744_89
OG0001181	WP_010941048.1	Utg857682_68, Utg861744_88
OG0001182	WP_010942518.1	Utg857300_43, Utg857300_42
OG0001183	WP_010941787.1	Utg857046_19
OG0001189	WP_010942182.1	Utg857152_160
OG0001192	WP_010942370.1	Utg866558_38
OG0001197	WP_010942235.1	Utg860814_292
OG0001198	WP_010943183.1	Utg860814_255
OG0001199	WP_010943761.1	Utg860814_226
OG0001199	WP_010943762.1	Utg860814_227
OG0001200	WP_010942381.1	Utg860814_110
OG0001209	WP_010943158.1	Utg864866_66
OG0001212	WP_010943175.1	Utg863716_133, Utg857076_2, Utg859236_130
OG0001213	WP_010943174.1	Utg863716_132, Utg857076_1, Utg859236_129
OG0001214	WP_010942387.1	Utg857300_16, Utg860814_225
OG0001223	WP_010940817.1	Utg857682_168, Utg857682_76
OG0001229	WP_010941716.1	Utg857994_82, Utg861744_26
OG0001230	WP_010940809.1	Utg861744_52
OG0001232	WP_235044919.1	Utg857300_52
OG0001233	WP_041914028.1	Utg860006_75
OG0001239	WP_010941096.1	Utg860006_48
OG0001242	WP_010942871.1	Utg857152_25
OG0001244	WP_193360256.1	Utg857152_55
OG0001245	WP_010941004.1	Utg857152_67
OG0001246	WP_010940784.1	Utg857152_104
OG0001247	WP_010943502.1	Utg857046_254
OG0001248	WP_010943712.1	Utg857046_211
OG0001249	WP_010941536.1, WP_010940985.1	Utg857046_131
OG0001252	WP_010941798.1	Utg857076_31
OG0001253	WP_010941550.1	Utg857076_28
OG0001254	WP_010942907.1	Utg857076_24
OG0001255	WP_010941959.1	Utg860814_252, Utg859236_60
OG0001256	WP_010941722.1	Utg859236_47
OG0001257	WP_010940778.1	Utg859236_42
OG0001258	WP_010942452.1	Utg859236_19
OG0001259	WP_010942451.1	Utg859236_18
OG0001262	WP_010943865.1	Utg860006_58
OG0001264	WP_010941103.1	Utg860006_166
OG0001268	WP_010943564.1	Utg859982_36
OG0001269	WP_010941842.1	Utg859982_196
OG0001273	WP_235044901.1	Utg859098_180
OG0001274	WP_010942443.1	Utg859098_242
OG0001276	WP_010943629.1	Utg859098_323
OG0001277	WP_010943636.1	Utg859098_324
OG0001278	WP_010943622.1	Utg859098_332
OG0001279	WP_010943623.1	Utg859098_333
OG0001281	WP_010940701.1	Utg859098_355
OG0001282	WP_010942068.1	Utg859098_356
OG0001284	WP_010941079.1	Utg859098_108
OG0001285	WP_010941080.1	Utg859098_107
OG0001286	WP_010941081.1	Utg859098_106
OG0001287	WP_010941084.1	Utg859098_103
OG0001288	WP_010941085.1	Utg859098_102
OG0001289	WP_010941095.1	Utg859098_90
OG0001290	WP_010943681.1	Utg859098_89
OG0001293	WP_010942578.1	Utg858498_12
OG0001296	WP_010943339.1	Utg857076_63
OG0001297	WP_010943340.1	Utg857076_62
OG0001298	WP_010941305.1	Utg866558_17
OG0001299	WP_010941598.1	Utg866558_35
OG0001302	WP_010940816.1	Utg857152_58, Utg857682_170
OG0001303	WP_010943854.1	Utg866558_30
OG0001304	WP_010942867.1	Utg860814_98
OG0001305	WP_010943918.1	Utg860814_105
OG0001308	WP_010940785.1	Utg857152_105
OG0001314	WP_010943404.1	Utg860814_151
OG0001317	WP_010941865.1	Utg857152_139
OG0001318	WP_010941174.1	Utg857076_9
OG0001324	WP_010941238.1	Utg859982_194
OG0001328	WP_010941339.1, WP_010941233.1	Utg858494_64
OG0001330	WP_010941918.1	Utg860814_324
OG0001333	WP_010941967.1	Utg861744_85
OG0001339	WP_010942712.1	Utg858432_95
OG0001341	WP_010943101.1	Utg859098_277
OG0001344	WP_010940690.1	Utg857152_14
OG0001352	WP_010941717.1	Utg857152_79
OG0001354	WP_010940917.1	Utg860814_71
OG0001357	WP_010943960.1	Utg860006_79
OG0001366	WP_010941495.1, WP_010944009.1, WP_010942782.1, WP_010941984.1	Utg857046_65
OG0001367	WP_010942690.1	Utg861744_31
OG0001369	WP_010941064.1	Utg857152_89
OG0001370	WP_010941618.1, WP_235044950.1	Utg861744_13
OG0001371	WP_010941604.1	Utg861744_58
OG0001384	WP_010940797.1	Utg861744_132
OG0001390	WP_010942140.1	Utg857994_145
OG0001395	WP_010942338.1	Utg860814_281
OG0001397	WP_010940986.1	Utg862138_4
OG0001398	WP_010941162.1	Utg860814_238
OG0001399	WP_010940946.1	Utg860814_228
OG0001402	WP_010940921.1, WP_010940879.1	Utg860814_80
OG0001408	WP_010941752.1	Utg863716_55
OG0001411	WP_010941021.1	Utg859388_52
OG0001412	WP_010940959.1, WP_010941360.1	Utg863716_75, Utg857152_204
OG0001417	WP_010941287.1	Utg857994_196
OG0001418	WP_010942847.1	Utg864866_83
OG0001424	WP_010943609.1	Utg865370_15
